type,observe_month,volume
Call,2020-01,891241364.023
Call,2020-02,1430392221.724
Call,2020-03,1101850366.961
Call,2020-04,797293358.353
Call,2020-05,1561194526.674
Call,2020-06,1429638049.15
Call,2020-07,2135375998.374
Call,2020-08,1936736574.987
Call,2020-09,1724511336.039
Call,2020-10,2720202252.753
Call,2020-11,6576254497.14
Call,2020-12,7469433899.659
Call,2021-01,14931652545.718
Call,2021-02,12775704089.376
Call,2021-03,14179111814.674
Call,2021-04,16844018091.245
Call,2021-05,12839755084.5
Call,2021-06,7540601626.722
Call,2021-07,5887219280.946
Call,2021-08,11198181541.713
Call,2021-09,11430166472.726
Call,2021-10,16422969129.856
Call,2021-11,13740448907.732
Call,2021-12,13379554037.394
Call,2022-01,11291110619.427
Call,2022-02,8905909879.568
Call,2022-03,10937779834.731
Call,2022-04,7754651896.991
Call,2022-05,8945600697.955
Call,2022-06,7639258675.956
Call,2022-07,6204005950.486
Call,2022-08,5129523306.519
Call,2022-09,7271154387.072
Call,2022-10,7282802193.937
Call,2022-11,6902370887.699
Call,2022-12,3703542511.715
Call,2023-01,9888572821.476
Call,2023-02,10437192305.022
Call,2023-03,16991774709.885
Call,2023-04,9873632468.867
Call,2023-05,9522982296.559
Call,2023-06,14062872149.344
Call,2023-07,10147291620.562
Call,2023-08,11843793662.038
Call,2023-09,8960157178.653
Call,2023-10,18607685476.276
Call,2023-11,17873432299.573
Call,2023-12,17809728135.075
Call,2024-01,19660799900.142
Call,2024-02,20427425292.54
Call,2024-03,30711556737.685
Call,2024-04,23169389646.665
Call,2024-05,21973532053.912
Call,2024-06,20989949701.419
Call,2024-07,28852524599.561
Call,2024-08,25015031159.888
Call,2024-09,18213402105.917
Call,2024-10,27547398321.693
Call,2024-11,54883326527.963
Call,2024-12,38324525455.823
Call,2025-01,45045479829.664
Call,2025-02,32953741091.855
Call,2025-03,37402070461.199
Call,2025-04,42250687949.398
Call,2025-05,49353176831.023
Call,2025-06,43142972910.124
Call,2025-07,66325296249.492
Call,2025-08,60641214390.478
Put,2020-01,655314074.969
Put,2020-02,1341381812.013
Put,2020-03,1089110578.554
Put,2020-04,696044853.17
Put,2020-05,1525207870.886
Put,2020-06,1074195803.387
Put,2020-07,1620579110.594
Put,2020-08,1981014606.698
Put,2020-09,1955175476.381
Put,2020-10,2476934527.833
Put,2020-11,6077586246.254
Put,2020-12,7207406880.14
Put,2021-01,12783806447.709
Put,2021-02,10821766929.111
Put,2021-03,15400521872.306
Put,2021-04,16466469811.252
Put,2021-05,13545615249.216
Put,2021-06,6458491117.589
Put,2021-07,4417886852.436
Put,2021-08,6301810977.237
Put,2021-09,7497465649.813
Put,2021-10,12417426817.723
Put,2021-11,10127085472.186
Put,2021-12,8950980497.447
Put,2022-01,8654432353.732
Put,2022-02,7428084895.623
Put,2022-03,7867017366.788
Put,2022-04,6787706743.199
Put,2022-05,11045986301.506
Put,2022-06,9776790776.654
Put,2022-07,4812646164.21
Put,2022-08,4388352766.338
Put,2022-09,5978497550.382
Put,2022-10,5794325739.301
Put,2022-11,6893625535.055
Put,2022-12,3117022597.441
Put,2023-01,5167307201.428
Put,2023-02,5788406813.651
Put,2023-03,11008042984.187
Put,2023-04,6598199872.243
Put,2023-05,5740171063.663
Put,2023-06,7619075453.712
Put,2023-07,5188602599.187
Put,2023-08,6479225603.199
Put,2023-09,5671912089.084
Put,2023-10,9731943367.701
Put,2023-11,10254062705.898
Put,2023-12,11362920445.766
Put,2024-01,12316264705.318
Put,2024-02,13779380060.187
Put,2024-03,20182680150.054
Put,2024-04,14651353757.246
Put,2024-05,13630170220.881
Put,2024-06,12055183049.408
Put,2024-07,16865286443.272
Put,2024-08,18499891861.308
Put,2024-09,14085871238.423
Put,2024-10,17011335352.49
Put,2024-11,34392819000.652
Put,2024-12,25492546495.704
Put,2025-01,26497142225.748
Put,2025-02,23323541860.308
Put,2025-03,27846868523.325
Put,2025-04,32649882107.303
Put,2025-05,35653500945.979004
Put,2025-06,34835121798.597
Put,2025-07,47160641191.267
Put,2025-08,53693673719.403
