,T Return,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
T Return,1.0,-0.0785022616173618,-0.12194856548847509,0.024041451932347982,-0.10716197119247804,-0.07063978854662291,-0.07809606993249828,-0.07912680914778758,-0.0795748809500444,-0.08062196784881145,0.0691706231667318,-0.04923859785431806,-0.11323938502728259,0.0948643398293269,0.10215015854356153,0.01482804713092877
Mean,-0.0785022616173618,1.0,0.7054130798760694,0.07722478772733392,-0.11943293377760898,0.9958317422928017,0.9995390252791001,0.9999513693803511,0.9996903841131571,0.9972967635491063,0.06084507265020632,0.09578020265945027,0.048372592656601175,0.04258900464354486,0.39183377081966453,-0.3912495985143941
Std,-0.12194856548847509,0.7054130798760694,1.0,0.3425741075626798,0.35172352953485353,0.6419825968775213,0.6849803509890552,0.7029304616355967,0.7193980653779065,0.7522675718430094,0.1679865083406379,0.22567395586214514,0.16404320439078873,0.05691711180075895,0.432489787190851,-0.21558928919818512
Skewness,0.024041451932347982,0.07722478772733392,0.3425741075626798,1.0,0.28634820614437967,0.06259528659933483,0.06441788936000105,0.06927501590865015,0.07685086843710232,0.10290489112434739,0.40930980640561926,0.3488800940683336,0.18874265117464736,0.16200272885987418,0.4820830062960137,-0.23650805589717455
Kurtosis,-0.10716197119247804,-0.11943293377760898,0.35172352953485353,0.28634820614437967,1.0,-0.1564969532488846,-0.13241555444453404,-0.12351145041259019,-0.11452226389793005,-0.08733901933647026,0.034257745633186516,0.24452301740034504,0.09789276168148774,0.02270962565965701,0.10466452405176499,0.08618606882055595
5% Quantile,-0.07063978854662291,0.9958317422928017,0.6419825968775213,0.06259528659933483,-0.1564969532488846,1.0,0.9979202731321153,0.9958525126631621,0.9933526000880734,0.986809372542257,0.05087487658983833,0.08408539305658803,0.03303985353083809,0.04241192293417062,0.3781892006234929,-0.4005320805414864
25% Quantile,-0.07809606993249828,0.9995390252791001,0.6849803509890552,0.06441788936000105,-0.13241555444453404,0.9979202731321153,1.0,0.9996179210307841,0.9985821512327457,0.994636851411214,0.05487885757160412,0.08949866949878177,0.04258350871736134,0.03964110834953679,0.38338414968284634,-0.39266911160639345
Median,-0.07912680914778758,0.9999513693803511,0.7029304616355967,0.06927501590865015,-0.12351145041259019,0.9958525126631621,0.9996179210307841,1.0,0.9996631491406698,0.9969961830265854,0.05837832594775515,0.09299514226570973,0.047118784552354014,0.04027746904146448,0.388009311984214,-0.3898853199489454
75% Quantile,-0.0795748809500444,0.9996903841131571,0.7193980653779065,0.07685086843710232,-0.11452226389793005,0.9933526000880734,0.9985821512327457,0.9996631491406698,1.0,0.9986234418993158,0.062323294049098546,0.09698289864163691,0.05193631087213783,0.042277986004407964,0.393779034130884,-0.38803824955354105
95% Quantile,-0.08062196784881145,0.9972967635491063,0.7522675718430094,0.10290489112434739,-0.08733901933647026,0.986809372542257,0.994636851411214,0.9969961830265854,0.9986234418993158,1.0,0.0735674958407509,0.10855715823398719,0.06323479930632361,0.048732917819540145,0.40926870781716723,-0.38576144966319315
T-1 Return,0.0691706231667318,0.06084507265020632,0.1679865083406379,0.40930980640561926,0.034257745633186516,0.05087487658983833,0.05487885757160412,0.05837832594775515,0.062323294049098546,0.0735674958407509,1.0,0.12184798242658344,0.003969991516998845,-0.04669470200696259,0.43463986988212905,-0.08641201963696352
T-2 Return,-0.04923859785431806,0.09578020265945027,0.22567395586214514,0.3488800940683336,0.24452301740034504,0.08408539305658803,0.08949866949878177,0.09299514226570973,0.09698289864163691,0.10855715823398719,0.12184798242658344,1.0,0.044704887360187025,-0.11891547618602231,0.3873134263066602,-0.17470849205135297
T-3 Return,-0.11323938502728259,0.048372592656601175,0.16404320439078873,0.18874265117464736,0.09789276168148774,0.03303985353083809,0.04258350871736134,0.047118784552354014,0.05193631087213783,0.06323479930632361,0.003969991516998845,0.044704887360187025,1.0,0.12992068035119858,0.2514887477684794,-0.1327985651457996
T-4 Return,0.0948643398293269,0.04258900464354486,0.05691711180075895,0.16200272885987418,0.02270962565965701,0.04241192293417062,0.03964110834953679,0.04027746904146448,0.042277986004407964,0.048732917819540145,-0.04669470200696259,-0.11891547618602231,0.12992068035119858,1.0,0.2525343173884418,-0.06998347946024795
Fear and Greed Index,0.10215015854356153,0.39183377081966453,0.432489787190851,0.4820830062960137,0.10466452405176499,0.3781892006234929,0.38338414968284634,0.388009311984214,0.393779034130884,0.40926870781716723,0.43463986988212905,0.3873134263066602,0.2514887477684794,0.2525343173884418,1.0,-0.4810132451888374
VIX,0.01482804713092877,-0.3912495985143941,-0.21558928919818512,-0.23650805589717455,0.08618606882055595,-0.4005320805414864,-0.39266911160639345,-0.3898853199489454,-0.38803824955354105,-0.38576144966319315,-0.08641201963696352,-0.17470849205135297,-0.1327985651457996,-0.06998347946024795,-0.4810132451888374,1.0
